user_id,completed_count
f823fbdfbe2e51e67b4832f4d14d5b3f,4
f824f4568e80f8dbd700c1dced990409,4
f8342167839ab1b663f6071df4569d8d,4
f8399df460646f760558af42aed0b227,4
f840958700ecf3eae21c32089f8ab991,4
f841d605f1fbe92a56c180ca53bc6cee,4
f8519cf16873bcbc3f0fefea216a4ea1,4
f85af339d1711d779a47a969804d342e,4
f85bb959e81050c0fb11f3331d2963e3,4
f861f6b4d27281d10d98aa780ca48377,4
f8651bcdb67f142cbb58923d7653ed75,4
f8923d254af9e27118b9176dd795a747,4
f89ae343f56f56921086de75994fbe66,4
f8a196860527a218b42b8c88381473b5,4
f8a883768af566143918f69e4057a35a,4
f8ad4287f64394bc8b5d0c15970461b6,4
f8b02ef44a113132b31dd0367d949ef0,4
f8b6f78002c2182555ef680345f3d920,4
f8b92259f7d8b2d786fd46f5d3c87d0f,4
f8bcbeacebb0e14924b17a92c2f7fff8,4
f8c89b1f72dcdc459d57b54aa24feb78,4
f8d64d9ad2a68034889ac2299a3932f3,4
f8d73b841d388e62b6faa001c95b2eee,4
f8df8f8ce4a4644d93fa5209c6ffed14,4
f8e11a539ab15ba7d5148ad349de48a6,4
f8e24a820e38481127d06215b72ca102,4
f8ee86c81d20170e6d8c6e4ff089de54,4
f8faf3e0299b2adc5fc85aec1d7d37c6,4
f90342532cb4c0a0f92a2c3230dceaaa,4
f91dba94986841a5573f866f4c7309fe,4
f926ead44992765d50b80292fc5b549f,4
f9286eddd8deaff62c1c034be3a1ba87,4
f92a02c8d9af4f333d222668e19db156,4
f940525eeacfa79721d57c251d89146a,4
f946a0654b5c73c4d5ef49f517401a4d,4
f94bc20e793322515f13fd0f20a025e2,4
f95cc89f56af85249db338ca9efaa843,4
f96a1df403f858ef30cd82bce9d70105,4
f96b3490d553636dc7ff6738890d65f2,4
f96fa4e9e65022f3d0c9e0162716aeb0,4
f97835be502fcd04090accf912a4d299,4
f97d62bdbe11ed2831758ed40c9448dc,4
f98846940d7a6a26faa3141244db16cd,4
f99766976eb9deb5b8c5af8eb77d78dd,4
f9a117c5996a35ae1da3dbef58326380,4
f9aeae37739e6cd3ce976c92568d7795,4
f9b974072886988b91cbd70f0e35a85a,4
f9c4467d524b886e9c5ac0d98a35d91c,4
f9d7b22a32c37f8479be7f121d566c34,4
f9d994e16f31f3de26f2411e9bbd57c8,4
f9dcf5ef56afddada7fdc326b70c81c9,4
f9e479bc58e95b9eb1bfe23998a1baa6,4
fa15691016ccf494c3e7e3aff9f80635,4
fa15d9e3baa5cdcf2c2960cce31b95a7,4
fa4cd33fded037df96364f998270388d,4
fa698fd15152aaa9939e5096a92a8411,4
fa731993818e642907e4c8005a4a244e,4
fa7c7acb10463bc9e33688710f528aa6,4
fa7f0fef271ef0455307e765f57fd5d2,4
fa95ac5aa34cf521fc8e56dcfc6638f8,4
fa9d40090847e98141d35f071e2a7989,4
faa52b96bcc8926ea29dad86a2b98984,4
faada85e3e10cc1ac4b8c5097ada34ec,4
fabf6b8bacb09f5495947935d1f6c23a,4
face97c5c57c91493743284da94a9164,4
fad916ac5cf89e45af9cbd48aaf1844f,4
fae1e27a331a6f875c666a00ef0179fc,4
fb1be442fab3fd2b966d29b6fb755c9c,4
fb1ffc5625e730870f4e65fceda4cfcf,4
fb2203f87fbd042cf8abaafec22d2dcf,4
fb3521f9135115527529bdb0c935b6ba,4
fb4b79f29a54a80a6ecce90720a47000,4
fb4e0103a80195f6b317207e0060bc00,4
fb5abe95252e49308cedabaecf285988,4
fb7841676caf1f2b9aed12e0e27f5f98,4
fb7a16e87b0be7f05f9737692c1ceb00,4
fbb2628285435db6c5f3552e5152ce2c,4
fbbd4f472bd8acdab35eef75d9046ebe,4
fbbe5c638a26e41d933cdad3901b5e20,4
fbc202810e81897094f44b65791ce8c1,4
fbd7bac2e250a35670756651c4a51971,4
fbd9f61f2b20c94f28e54b669e21383c,4
fbe2e3de94e782ea5b909f8154c8db07,4
fbe2e4ff50125819d54664dab57550f5,4
fbe82b36743f7c5516151da1fcc3c076,4
fbecaf30ee3d725679aeac1ff4587686,4
fbf211bb0adf90414653dc742a802fa9,4
fbf6177c59f2e5cfbf263cee3eaab8a3,4
fbfff37104396402ce38455f58b9c0b1,4
fc0c0c4ed324d3b16198f8b2d56c29c8,4
fc0dc5f09828e70eaefb2e707248b760,4
fc240ce7de40c5c35103bdf3832abaf5,4
fc2d16c88366df484d45bea219ef1731,4
fc3ee1f2d53f8e5c5fd6f1718ca1b3ef,4
fc64e9d292d656d05c87927db66c2b0e,4
fc84699cffbdd5bde073f57db0c4c135,4
fc96f435c8019aa506eff4b2b16af757,4
fc9c6f9f8c6c48eeab2eea45d6c7f677,4
fc9e042a629b266f4c2875e1d8b47d10,4
fc9f4cc5e4d1e6e0179ad65e46a469fb,4
fcba4cd5b94fa2f949acb1cdd7cc9cf8,4
fcbb8d4e91192b778a90d096598ffb07,4
fcc49077458d509f8ead525bc442fd33,4
fcceb013a63e1e01b1a069ab38fd8498,4
fcd533679c529a938a8a9dcfc8824dc8,4
fce0419b049b11bc96350e883692ed0c,4
fce150331c6274332a86822de22bbebd,4
fce30ce1c08a3a8aba47e29b6a3c68ff,4
